Fix Files With Lines Greater Than 80 Columns Task #11,  This task consists of editing the files listed in <a href=http://rtems.org/ftp/pub/rtems/people/joel/Doxygen_Tasks/cpukit_Fix_Lines_Greater_Than_80_Columns_10.txt>http://rtems.org/ftp/pub/rtems/people/joel/Doxygen_Tasks/cpukit_Fix_Lines_Greater_Than_80_Columns_10.txt</a> per the instructions at <a href=http://www.rtems.org/wiki/index.php/GoogleCodeInProjects#Fix_80_Columns>http://www.rtems.org/wiki/index.php/GoogleCodeInProjects#Fix_80_Columns</a>. A patch generated using git diff will need to be submitted to fulfill this task. This patch will be reviewed by the mentors and suggestions are likely to be made.,72,chrisjohns,Code,"C"
Fix Files With Lines Greater Than 80 Columns Task #12,  This task consists of editing the files listed in <a href=http://rtems.org/ftp/pub/rtems/people/joel/Doxygen_Tasks/cpukit_Fix_Lines_Greater_Than_80_Columns_11.txt>http://rtems.org/ftp/pub/rtems/people/joel/Doxygen_Tasks/cpukit_Fix_Lines_Greater_Than_80_Columns_11.txt</a> per the instructions at <a href=http://www.rtems.org/wiki/index.php/GoogleCodeInProjects#Fix_80_Columns>http://www.rtems.org/wiki/index.php/GoogleCodeInProjects#Fix_80_Columns</a>. A patch generated using git diff will need to be submitted to fulfill this task. This patch will be reviewed by the mentors and suggestions are likely to be made.,72,sebhub,Code,"C"
Fix Files With Lines Greater Than 80 Columns Task #13,  This task consists of editing the files listed in <a href=http://rtems.org/ftp/pub/rtems/people/joel/Doxygen_Tasks/cpukit_Fix_Lines_Greater_Than_80_Columns_12.txt>http://rtems.org/ftp/pub/rtems/people/joel/Doxygen_Tasks/cpukit_Fix_Lines_Greater_Than_80_Columns_12.txt</a> per the instructions at <a href=http://www.rtems.org/wiki/index.php/GoogleCodeInProjects#Fix_80_Columns>http://www.rtems.org/wiki/index.php/GoogleCodeInProjects#Fix_80_Columns</a>. A patch generated using git diff will need to be submitted to fulfill this task. This patch will be reviewed by the mentors and suggestions are likely to be made.,72,hiddenpearls,Code,"C"
Fix Files With Lines Greater Than 80 Columns Task #14,  This task consists of editing the files listed in <a href=http://rtems.org/ftp/pub/rtems/people/joel/Doxygen_Tasks/cpukit_Fix_Lines_Greater_Than_80_Columns_13.txt>http://rtems.org/ftp/pub/rtems/people/joel/Doxygen_Tasks/cpukit_Fix_Lines_Greater_Than_80_Columns_13.txt</a> per the instructions at <a href=http://www.rtems.org/wiki/index.php/GoogleCodeInProjects#Fix_80_Columns>http://www.rtems.org/wiki/index.php/GoogleCodeInProjects#Fix_80_Columns</a>. A patch generated using git diff will need to be submitted to fulfill this task. This patch will be reviewed by the mentors and suggestions are likely to be made.,72,amartakhar,Code,"C"
Fix Files With Lines Greater Than 80 Columns Task #15,  This task consists of editing the files listed in <a href=http://rtems.org/ftp/pub/rtems/people/joel/Doxygen_Tasks/cpukit_Fix_Lines_Greater_Than_80_Columns_14.txt>http://rtems.org/ftp/pub/rtems/people/joel/Doxygen_Tasks/cpukit_Fix_Lines_Greater_Than_80_Columns_14.txt</a> per the instructions at <a href=http://www.rtems.org/wiki/index.php/GoogleCodeInProjects#Fix_80_Columns>http://www.rtems.org/wiki/index.php/GoogleCodeInProjects#Fix_80_Columns</a>. A patch generated using git diff will need to be submitted to fulfill this task. This patch will be reviewed by the mentors and suggestions are likely to be made.,72,cdcs,Code,"C"
Fix Files With Lines Greater Than 80 Columns Task #16,  This task consists of editing the files listed in <a href=http://rtems.org/ftp/pub/rtems/people/joel/Doxygen_Tasks/cpukit_Fix_Lines_Greater_Than_80_Columns_15.txt>http://rtems.org/ftp/pub/rtems/people/joel/Doxygen_Tasks/cpukit_Fix_Lines_Greater_Than_80_Columns_15.txt</a> per the instructions at <a href=http://www.rtems.org/wiki/index.php/GoogleCodeInProjects#Fix_80_Columns>http://www.rtems.org/wiki/index.php/GoogleCodeInProjects#Fix_80_Columns</a>. A patch generated using git diff will need to be submitted to fulfill this task. This patch will be reviewed by the mentors and suggestions are likely to be made.,72,gedare,Code,"C"
Fix Files With Lines Greater Than 80 Columns Task #17,  This task consists of editing the files listed in <a href=http://rtems.org/ftp/pub/rtems/people/joel/Doxygen_Tasks/cpukit_Fix_Lines_Greater_Than_80_Columns_16.txt>http://rtems.org/ftp/pub/rtems/people/joel/Doxygen_Tasks/cpukit_Fix_Lines_Greater_Than_80_Columns_16.txt</a> per the instructions at <a href=http://www.rtems.org/wiki/index.php/GoogleCodeInProjects#Fix_80_Columns>http://www.rtems.org/wiki/index.php/GoogleCodeInProjects#Fix_80_Columns</a>. A patch generated using git diff will need to be submitted to fulfill this task. This patch will be reviewed by the mentors and suggestions are likely to be made.,72,oarmark,Code,"C"
Fix Files With Lines Greater Than 80 Columns Task #18,  This task consists of editing the files listed in <a href=http://rtems.org/ftp/pub/rtems/people/joel/Doxygen_Tasks/cpukit_Fix_Lines_Greater_Than_80_Columns_17.txt>http://rtems.org/ftp/pub/rtems/people/joel/Doxygen_Tasks/cpukit_Fix_Lines_Greater_Than_80_Columns_17.txt</a> per the instructions at <a href=http://www.rtems.org/wiki/index.php/GoogleCodeInProjects#Fix_80_Columns>http://www.rtems.org/wiki/index.php/GoogleCodeInProjects#Fix_80_Columns</a>. A patch generated using git diff will need to be submitted to fulfill this task. This patch will be reviewed by the mentors and suggestions are likely to be made.,72,joel_sherrill,Code,"C"
Fix Files With Lines Greater Than 80 Columns Task #19,  This task consists of editing the files listed in <a href=http://rtems.org/ftp/pub/rtems/people/joel/Doxygen_Tasks/cpukit_Fix_Lines_Greater_Than_80_Columns_18.txt>http://rtems.org/ftp/pub/rtems/people/joel/Doxygen_Tasks/cpukit_Fix_Lines_Greater_Than_80_Columns_18.txt</a> per the instructions at <a href=http://www.rtems.org/wiki/index.php/GoogleCodeInProjects#Fix_80_Columns>http://www.rtems.org/wiki/index.php/GoogleCodeInProjects#Fix_80_Columns</a>. A patch generated using git diff will need to be submitted to fulfill this task. This patch will be reviewed by the mentors and suggestions are likely to be made.,72,jenniferaverettoarcorp,Code,"C"
Fix Files With Lines Greater Than 80 Columns Task #20,  This task consists of editing the files listed in <a href=http://rtems.org/ftp/pub/rtems/people/joel/Doxygen_Tasks/cpukit_Fix_Lines_Greater_Than_80_Columns_19.txt>http://rtems.org/ftp/pub/rtems/people/joel/Doxygen_Tasks/cpukit_Fix_Lines_Greater_Than_80_Columns_19.txt</a> per the instructions at <a href=http://www.rtems.org/wiki/index.php/GoogleCodeInProjects#Fix_80_Columns>http://www.rtems.org/wiki/index.php/GoogleCodeInProjects#Fix_80_Columns</a>. A patch generated using git diff will need to be submitted to fulfill this task. This patch will be reviewed by the mentors and suggestions are likely to be made.,72,chrisjohns,Code,"C"
Fix Files With Lines Greater Than 80 Columns Task #21,  This task consists of editing the files listed in <a href=http://rtems.org/ftp/pub/rtems/people/joel/Doxygen_Tasks/cpukit_Fix_Lines_Greater_Than_80_Columns_20.txt>http://rtems.org/ftp/pub/rtems/people/joel/Doxygen_Tasks/cpukit_Fix_Lines_Greater_Than_80_Columns_20.txt</a> per the instructions at <a href=http://www.rtems.org/wiki/index.php/GoogleCodeInProjects#Fix_80_Columns>http://www.rtems.org/wiki/index.php/GoogleCodeInProjects#Fix_80_Columns</a>. A patch generated using git diff will need to be submitted to fulfill this task. This patch will be reviewed by the mentors and suggestions are likely to be made.,72,sebhub,Code,"C"
Fix Files With Lines Greater Than 80 Columns Task #22,  This task consists of editing the files listed in <a href=http://rtems.org/ftp/pub/rtems/people/joel/Doxygen_Tasks/cpukit_Fix_Lines_Greater_Than_80_Columns_21.txt>http://rtems.org/ftp/pub/rtems/people/joel/Doxygen_Tasks/cpukit_Fix_Lines_Greater_Than_80_Columns_21.txt</a> per the instructions at <a href=http://www.rtems.org/wiki/index.php/GoogleCodeInProjects#Fix_80_Columns>http://www.rtems.org/wiki/index.php/GoogleCodeInProjects#Fix_80_Columns</a>. A patch generated using git diff will need to be submitted to fulfill this task. This patch will be reviewed by the mentors and suggestions are likely to be made.,72,hiddenpearls,Code,"C"
